movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
The Judge,David Dobkin,Robert Downey Jr.,Robert Duvall,Vera Farmiga,Drama,"small town indiana, usa judge parent child relationship dysfunctional family trial family relationships lawyer courtroom courtroom drama father son relationship legal thriller",205587,/3K93GWotLXe4FqpErri0xkpLaD5.jpg,"david dobkin robert downey jr. robert duvall vera farmiga drama small town indiana, usa judge parent child relationship dysfunctional family trial family relationships lawyer courtroom courtroom drama father son relationship legal thriller"
Night at the Museum: Secret of the Tomb,Shawn Levy,Ben Stiller,Robin Williams,Owen Wilson,Adventure Comedy Fantasy Family,night watchman museum natural history smithsonian,181533,/xwgy305K6qDs3D20xUO4OZu1HPY.jpg,shawn levy ben stiller robin williams owen wilson adventure comedy fantasy family night watchman museum natural history smithsonian
Hercules,Brett Ratner,Dwayne Johnson,Ian McShane,John Hurt,Action Adventure,killing mercenary past based on comic battle ancient greece hercules peplum warrior sagen 4th century bc,184315,/5X3VOy9lD44VclKsWTi8gHZGjhL.jpg,brett ratner dwayne johnson ian mcshane john hurt action adventure killing mercenary past based on comic battle ancient greece hercules peplum warrior sagen 4th century bc
Horrible Bosses 2,Sean Anders,Jason Bateman,Jason Sudeikis,Charlie Day,Comedy,prison kidnapping sex addiction sequel sex tape,227159,/boBOkwIqgrs8noxBUSDkkicKa4K.jpg,sean anders jason bateman jason sudeikis charlie day comedy prison kidnapping sex addiction sequel sex tape
Who Am I,Baran bo Odar,Tom Schilling,Elyas M'Barek,Wotan Wilke Möhring,Thriller,"berlin, germany computer hacker bka bnd",284427,/oR3tbNzJMJmCKS5O5fanU9yxIOk.jpg,"baran bo odar tom schilling elyas m'barek wotan wilke möhring thriller berlin, germany computer hacker bka bnd"
The Other Woman,Nick Cassavetes,Cameron Diaz,Leslie Mann,Kate Upton,Comedy Romance,infidelity revenge unfaithful boyfriend extramarital affair unfaithful husband,193610,/yHnbb6z8REuFIyBLT2Nj3MX54dY.jpg,nick cassavetes cameron diaz leslie mann kate upton comedy romance infidelity revenge unfaithful boyfriend extramarital affair unfaithful husband
Walk of Shame,Steven Brill,Elizabeth Banks,James Marsden,Gillian Jacobs,Comedy,journalist one-night stand blonde newswoman,187596,/3zMS66gtw8ccvy1BWD6thJ67jgX.jpg,steven brill elizabeth banks james marsden gillian jacobs comedy journalist one-night stand blonde newswoman
Dracula Untold,Gary Shore,Luke Evans,Sarah Gadon,Dominic Cooper,Horror Action Fantasy,hero monster vampire bite bravery supernatural prince heroism battle 15th century ottoman empire dracula dramatic intense,49017,/vNiGjujwwGP9DxHj5Bga0ctgGaY.jpg,gary shore luke evans sarah gadon dominic cooper horror action fantasy hero monster vampire bite bravery supernatural prince heroism battle 15th century ottoman empire dracula dramatic intense
The Remaining,Casey La Scala,Alexa PenaVega,Johnny Pacar,Shaun Sipos,Thriller Horror,apocalypse wedding found footage end of times,280002,/fFeTfXI67Oj80s65jtbq4uQ4InP.jpg,casey la scala alexa penavega johnny pacar shaun sipos thriller horror apocalypse wedding found footage end of times
Selma,Ava DuVernay,David Oyelowo,Carmen Ejogo,Tom Wilkinson,History Drama,alabama civil rights martin luther king president protest march woman director selma 1960s african american history,273895,/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg,ava duvernay david oyelowo carmen ejogo tom wilkinson history drama alabama civil rights martin luther king president protest march woman director selma 1960s african american history
Wrong Turn 6: Last Resort,Valeri Milev,Anthony Ilott,Aqueela Zoll,Sadie Katz,Horror,lake mountain lake mutant forest sequel redneck slasher cannibal hunting incest survival horror voyeurism voyeur resting place,259072,/cV1biK7jlHVXlQ7ErYe5MUSBGcx.jpg,valeri milev anthony ilott aqueela zoll sadie katz horror lake mountain lake mutant forest sequel redneck slasher cannibal hunting incest survival horror voyeurism voyeur resting place
Saint Seiya: Legend of Sanctuary,Keiichi Sato,Kaito Ishikawa,Ayaka Sasaki,Kenji Akabane,Action Animation Fantasy,greek mythology god based on manga reboot adult animation shounen anime 3d animation,287590,/gxKfP9278RK4t3J8vLXoFfB8ihl.jpg,keiichi sato kaito ishikawa ayaka sasaki kenji akabane action animation fantasy greek mythology god based on manga reboot adult animation shounen anime 3d animation
Rio 2,Carlos Saldanha,Jesse Eisenberg,Anne Hathaway,will.i.am,Animation Adventure Comedy Family,villain amazon rainforest sequel travel jungle audition parrots personification,172385,/gVNTBrjxh2YRmQFjlaqrNbHVvrd.jpg,carlos saldanha jesse eisenberg anne hathaway will.i.am animation adventure comedy family villain amazon rainforest sequel travel jungle audition parrots personification
Stand by Me Doraemon,Takashi Yamazaki,Wasabi Mizuta,Megumi Oohara,Yumi Kakazu,Animation Family Science Fiction Fantasy Adventure,gadget time travel school based on manga anime based on anime,265712,/wc7XQbfx6EIQqCuvmBMt3aisb2Y.jpg,takashi yamazaki wasabi mizuta megumi oohara yumi kakazu animation family science fiction fantasy adventure gadget time travel school based on manga anime based on anime
The Drop,Michaël R. Roskam,Tom Hardy,Noomi Rapace,James Gandolfini,Drama Crime,"robbery hitman winter blackmail crime boss bartender mobster organized crime pitbull church catholic brooklyn, new york city ex-con psychotic taunting questioning super bowl unassuming satirical reflective abandoned puppy vindictive wistful sentimental witty whimsical sarcastic sympathetic tragic vibrant",154400,/olQInYvVCW2wycMSU1ogo9Jshml.jpg,"michaël r. roskam tom hardy noomi rapace james gandolfini drama crime robbery hitman winter blackmail crime boss bartender mobster organized crime pitbull church catholic brooklyn, new york city ex-con psychotic taunting questioning super bowl unassuming satirical reflective abandoned puppy vindictive wistful sentimental witty whimsical sarcastic sympathetic tragic vibrant"
Beauty and the Beast,Christophe Gans,Léa Seydoux,Vincent Cassel,André Dussollier,Fantasy Romance,based on novel or book magic fairy tale shipwreck transformation castle surrealism forest love man beast curse debt beast giant man healing power based on fairy tale picturesque live action and animation,197796,/8bErT2koHXAUSW5PdLQqgL5gEEe.jpg,christophe gans léa seydoux vincent cassel andré dussollier fantasy romance based on novel or book magic fairy tale shipwreck transformation castle surrealism forest love man beast curse debt beast giant man healing power based on fairy tale picturesque live action and animation
Case Closed: The Sniper from Another Dimension,Kobun Shizuno,Minami Takayama,Kappei Yamaguchi,Wakana Yamazaki,Animation Action Drama Mystery,detective anime,257512,/d08RKnmdcoCwlHOezazli8hmJH6.jpg,kobun shizuno minami takayama kappei yamaguchi wakana yamazaki animation action drama mystery detective anime
Rurouni Kenshin Part III: The Legend Ends,Keishi Otomo,Takeru Satoh,Emi Takei,Munetaka Aoki,Action Adventure Fantasy,japan samurai based on manga samurai sword jidaigeki shinsengumi meiji period bakumatsu ishin shishi,221732,/3sw2YRF0UR4jeZJ2yvpgk4qvMQK.jpg,keishi otomo takeru satoh emi takei munetaka aoki action adventure fantasy japan samurai based on manga samurai sword jidaigeki shinsengumi meiji period bakumatsu ishin shishi
The Giver,Phillip Noyce,Jeff Bridges,Meryl Streep,Brenton Thwaites,Drama Science Fiction,new love based on novel or book dystopia anti conformity memory alternative reality color 2040s based on young adult novel,227156,/dul62Av4pgi5x8LP7ELHzNyka9Z.jpg,phillip noyce jeff bridges meryl streep brenton thwaites drama science fiction new love based on novel or book dystopia anti conformity memory alternative reality color 2040s based on young adult novel
A Courtesan with Flowered Skin,Keisuke Toyoshima,Yumi Adachi,Yasushi Fuchikami,Ena Koshino,Drama Romance,"secret love based on novel or book geisha love tokyo, japan prostitution love interest jidaigeki edo period love problems sex work yūjo",342437,/zKkeMZr2ZqQlwunpFdtId7tXRzC.jpg,"keisuke toyoshima yumi adachi yasushi fuchikami ena koshino drama romance secret love based on novel or book geisha love tokyo, japan prostitution love interest jidaigeki edo period love problems sex work yūjo"
Neighbors,Nicholas Stoller,Seth Rogen,Zac Efron,Rose Byrne,Comedy,baby routine house party parenting family new neighbor fraternity fraternity house neighbor neighbor relationship bathroom humor partying pranks stay-at-home mom,195589,/sN1RU08CMi8xkRIibremh3AOdgw.jpg,nicholas stoller seth rogen zac efron rose byrne comedy baby routine house party parenting family new neighbor fraternity fraternity house neighbor neighbor relationship bathroom humor partying pranks stay-at-home mom
They Came Together,David Wain,Paul Rudd,Amy Poehler,Bill Hader,Comedy,,180296,/ifvKTtvmPYOGed2hP9ogPq98In7.jpg,david wain paul rudd amy poehler bill hader comedy
Pokémon the Movie: Diancie and the Cocoon of Destruction,Kunihiko Yuyama,Rica Matsumoto,Ikue Otani,Mayuki Makiguchi,Animation Family Adventure Action Comedy Drama,anime,303903,/rA0KbJZbBt2fMmZs8bwPZnzFfDc.jpg,kunihiko yuyama rica matsumoto ikue otani mayuki makiguchi animation family adventure action comedy drama anime
Dragons: Dawn of the Dragon Racers,Elaine Bogan,Jay Baruchel,America Ferrera,Christopher Mintz-Plasse,Animation Family Adventure Comedy Fantasy,based on novel or book tournament dragon father son relationship short film,298115,/sgOXOQyPIjeMi1bnWu1r0CzLsZD.jpg,elaine bogan jay baruchel america ferrera christopher mintz-plasse animation family adventure comedy fantasy based on novel or book tournament dragon father son relationship short film
2 States,Abhishek Varman,Alia Bhatt,Arjun Kapoor,Amrita Singh,Comedy Romance Drama,"based on novel or book delhi, india romcom love cultural difference wedding university boyfriend girlfriend relationship",259720,/lOQqeKxZg12ZSn0qfHAOXOtbVFR.jpg,"abhishek varman alia bhatt arjun kapoor amrita singh comedy romance drama based on novel or book delhi, india romcom love cultural difference wedding university boyfriend girlfriend relationship"
When Marnie Was There,Hiromasa Yonebayashi,Sara Takatsuki,Kasumi Arimura,Nanako Matsushima,Animation Drama Family Mystery,friendship based on novel or book imaginary friend flashback photograph calm anime personal diary psychological,242828,/vug1dvDI1tSa60Z8qjCuUE7ntkO.jpg,hiromasa yonebayashi sara takatsuki kasumi arimura nanako matsushima animation drama family mystery friendship based on novel or book imaginary friend flashback photograph calm anime personal diary psychological
Chef,Jon Favreau,Jon Favreau,John Leguizamo,Bobby Cannavale,Comedy,parent child relationship restaurant owner road trip food chef ex-husband ex-wife relationship semi autobiographical twitter social media duringcreditsstinger food truck gastronomia,212778,/hyp8EXDmO4dSC8V6Q5jU7gD1kcg.jpg,jon favreau jon favreau john leguizamo bobby cannavale comedy parent child relationship restaurant owner road trip food chef ex-husband ex-wife relationship semi autobiographical twitter social media duringcreditsstinger food truck gastronomia
The Pirates,Lee Suk-hoon,Son Ye-jin,Kim Nam-gil,Oh Dal-su,Action Adventure Comedy Fantasy,captain whale thief period drama bandit lost island maritime joseon dynasty (1392–1910) korean live action pirate captain bandits,285213,/4qU1SW1b2Txf3Ge9rGlddDthSgx.jpg,lee suk-hoon son ye-jin kim nam-gil oh dal-su action adventure comedy fantasy captain whale thief period drama bandit lost island maritime joseon dynasty (1392–1910) korean live action pirate captain bandits
Enemy,Denis Villeneuve,Jake Gyllenhaal,Mélanie Laurent,Sarah Gadon,Thriller Mystery,"infidelity based on novel or book nightmare professor pregnancy paranoia toronto, canada delusion symbolism spider surrealism mental illness dream sequence doppelgänger double identity subconscious",181886,/vf40tyDRKZsBmaLsYeopzfFLzLx.jpg,"denis villeneuve jake gyllenhaal mélanie laurent sarah gadon thriller mystery infidelity based on novel or book nightmare professor pregnancy paranoia toronto, canada delusion symbolism spider surrealism mental illness dream sequence doppelgänger double identity subconscious"
